RA,DEC,Z,logmstar,dellogmstar
129.1060357,-0.6748178,0.05244,9.67106,0.114612
129.0154022,-0.691672,0.05113,8.63758,0.126967
129.3549356,-0.6793922,0.04041,9.32176,0.162283
129.4107342,-0.6956981,0.07902,9.33079,0.120138
129.3475581,-0.6943935,0.10805,10.6832,0.107211
129.3776582,-0.635523,0.13169,10.2253,0.127964
129.6904776,-0.7010863,0.05102,9.92843,0.126156
130.0007349,-0.6842331,0.07824,9.66388,0.116972
130.0119773,-0.664093,0.13514,10.0767,0.114299
129.9049294,-0.6319463,0.10834,9.71459,0.141199
130.1717533,-0.6914858,0.12767,10.4148,0.131372
130.0371786,-0.6695398,0.0767,9.09545,0.104774
130.1404504,-0.6952803,0.12832,10.2921,0.0935254
130.171175,-0.6529264,0.13572,10.074,0.183364
130.073723,-0.7043674,0.14448,10.0451,0.131087
130.3581219,-0.6916277,0.1292,10.1072,0.11432
130.4159073,-0.7039928,0.12904,9.94062,0.120753
130.6601337,-0.65731,0.1075,10.5518,0.0959738
130.7013291,-0.7244157,0.07848,9.069,0.126434
130.7285327,-0.6538905,0.1192,9.96542,0.122955
130.7916961,-0.6403282,0.10905,9.72536,0.124621
130.7896571,-0.6389663,0.10923,8.91593,0.11952
130.9152467,-0.6746225,0.11569,9.89694,0.112821
131.0446276,-0.6427761,0.11946,11.1146,0.0940576
131.0614997,-0.6453139,0.11876,9.92009,0.110105
131.5926269,-0.7162,0.04046,8.78154,0.128812
131.6083404,-0.6616564,0.0917,9.7234,0.130668
131.7245227,-0.6305883,0.14915,9.80069,0.135243
131.7430946,-0.6972147,0.09136,9.9358,0.133626
131.877109,-0.7282736,0.10255,10.1697,0.127084
132.0466301,-0.7263977,0.137,9.93061,0.113605
132.2845218,-0.6343178,0.00058,5.46921,0.104612
132.5434739,-0.7054258,0.05716,9.51835,0.126168
132.5812221,-0.6804902,0.07722,10.5208,0.125541
132.7240278,-0.635765,0.01503,7.94756,0.152157
132.8414247,-0.7465194,0.09413,9.62821,0.117891
132.8451095,-0.7597341,0.11571,9.76942,0.124195
132.9762981,-0.7565372,0.12997,10.3993,0.114793
132.8819435,-0.7360586,0.04316,8.96889,0.12726
132.9097846,-0.6997214,0.10457,10.6721,0.103436
132.9304644,-0.7542206,0.0977,9.25271,0.101734
132.944922,-0.7678177,0.13057,10.2591,0.131336
133.049992,-0.7363349,0.13518,10.8894,0.108645
133.1154349,-0.6500344,0.05926,9.3708,0.122029
133.1471662,-0.6335077,0.10493,10.7466,0.133507
133.2127022,-0.6771755,0.10804,10.4622,0.112256
133.2303514,-0.6488523,0.09451,9.68324,0.132642
133.2476877,-0.6476615,0.12744,9.6582,0.114483
133.2877139,-0.6567332,0.05929,9.62202,0.117667
133.3056471,-0.6655977,0.12754,10.6021,0.125048
133.3970055,-0.7100813,0.0611,10.401,0.105013
133.3713395,-0.7044276,0.12758,10.2986,0.125688
133.4122069,-0.7643868,0.07131,9.81363,0.117144
133.5904146,-0.7075719,0.04949,9.97271,0.134199
133.7117969,-0.657399,0.06682,9.30156,0.121057
133.7408748,-0.6421197,0.09178,9.44845,0.184702
133.8469723,-0.6986394,0.10599,10.3859,0.110681
133.9137139,-0.7782428,0.10592,10.6337,0.123196
133.9368495,-0.6689943,0.0001,3.25873,0.069489
134.1146066,-0.6612923,0.11627,10.7069,0.101098
134.2042339,-0.6690556,0.12902,10.2205,0.121839
134.1554581,-0.7165282,0.11071,9.8176,0.114605
134.3225609,-0.6376895,0.11103,10.3808,0.117095
134.359148,-0.7009087,0.11622,10.3733,0.115388
134.2211741,-0.6764457,0.11074,9.63768,0.277079
134.3035556,-0.7577036,0.03918,8.2281,0.0986941
134.3746088,-0.732457,0.10521,11.2457,0.102332
134.3761628,-0.7336378,0.10583,9.51627,0.345262
134.3940434,-0.7564915,0.12881,10.5281,0.0988141
134.4030524,-0.7176514,0.10569,10.026,0.111639
134.4166411,-0.6848532,0.13043,10.1473,0.136512
134.5179217,-0.7061423,0.07119,10.1757,0.112548
134.5523451,-0.6310957,0.07106,9.19206,0.118994
134.65669478,-0.66596728,0.00028,3.98348,0.158491
134.9581415,-0.7882786,0.10449,10.2144,0.119407
134.9864585,-0.7161041,0.12078,9.69505,0.119583
135.0593283,-0.7816189,0.08198,9.54789,0.121146
135.2073101,-0.7143935,0.04063,9.23614,0.123189
135.3125901,-0.7898777,0.11438,10.2317,0.141615
135.3158346,-0.7345321,0.11437,9.29627,0.119008
135.3385739,-0.6742466,0.10382,10.7233,0.104991
135.3999747,-0.6757654,0.10333,10.6581,0.119898
135.4026758,-0.6583937,0.1034,10.5478,0.106001
135.48510912,-0.66442879,0.00012,1.68822,0.179602
135.4359869,-0.6475587,0.04836,9.91507,0.112263
135.6085296,-0.6339332,0.14501,9.92185,0.116509
135.8027927,-0.7529172,0.04831,10.8002,0.125293
135.9230887,-0.7923831,0.10246,10.2707,0.119374
135.9769244,-0.7258793,0.10284,9.5651,0.127904
135.8987129,-0.7375113,0.13023,9.81582,0.134518
136.0337583,-0.7201314,0.1163,10.1305,0.128227
136.0313923,-0.7583502,0.1031,9.42409,0.107561
136.2551685,-0.6505177,0.14561,9.86081,0.178018
136.261169,-0.7082594,0.14542,10.7824,0.090121
136.4274573,-0.68116,0.11748,10.4492,0.097887
136.4563694,-0.7373332,0.10049,10.2218,0.12945
136.6121288,-0.7539428,0.00021,3.6106,0.0644381
136.7898763,-0.6734231,0.13236,10.6252,0.132096
136.7917658,-0.8323195,0.13249,10.2682,0.119504
136.7968804,-0.6477828,0.1323,10.0919,0.110956
136.8130096,-0.6356809,0.12757,9.9877,0.129009
136.8250544,-0.7576477,0.13177,10.8494,0.100574
136.8271107,-0.7006422,0.10209,10.4226,0.132782
136.8079237,-0.7684553,0.05836,8.99612,0.159611
137.1475817,-0.8289446,0.01212,7.48589,0.104191
137.2111922,-0.7252121,0.10396,10.0929,0.105478
137.1628287,-0.7227522,0.10339,9.35295,0.128912
137.2531501,-0.8356459,0.13361,10.5369,0.138452
137.3318091,-0.7066165,0.09374,9.9968,0.120945
137.3497789,-0.6391498,0.03929,9.13656,0.127815
137.3979037,-0.6628684,0.05469,9.61557,0.128637
137.4364372,-0.8382967,0.13421,10.2732,0.115082
137.4389038,-0.826701,0.13405,10.8619,0.0836088
137.4461468,-0.6519042,0.05449,10.296,0.119741
137.5185562,-0.6893509,0.09337,9.55236,0.122359
137.6751662,-0.7730413,0.11648,10.1601,0.108105
137.9099244,-0.7149916,0.0702,9.86294,0.122992
137.8273085,-0.8370951,0.14616,10.3694,0.10757
138.166235,-0.816913,0.00042,3.94151,0.121154
138.2838904,-0.8044394,0.13769,10.1797,0.110043
138.460749,-0.6356363,0.13819,10.5295,0.119243
138.4623132,-0.6754685,0.13874,10.1256,0.128771
138.4676827,-0.6509255,0.13879,10.1114,0.163852
138.5613167,-0.7579798,0.14473,10.3137,0.120509
138.5831007,-0.745468,0.1445,10.4593,0.0979832
138.648327,-0.7523267,0.12814,10.337,0.121229
138.7764668,-0.7184472,0.05392,10.9157,0.11347
138.8637248,-0.7129687,0.13685,9.69837,0.277805
138.9928178,-0.6467822,0.06093,9.88472,0.119432
139.0553946,-0.7349764,0.10366,10.364,0.103101
139.0411901,-0.6888488,0.05201,10.5457,0.107233
139.0506498,-0.6995011,0.03907,10.8219,0.106766
139.051008,-0.7665043,0.10366,10.4229,0.115603
139.0597127,-0.7609734,0.00123,5.33052,0.126141
139.0669383,-0.7821373,0.07454,9.7715,0.106264
139.3064474,-0.8389544,0.07432,8.97322,0.108339
