RA,DEC,Z,sSFR_0_1Gyr_best_fit,sSFR_0_1Gyr_percentile16,sSFR_0_1Gyr_percentile50,sSFR_0_1Gyr_percentile84,mass_stellar_best_fit,mass_stellar_percentile16,mass_stellar_percentile50,mass_stellar_percentile84
129.0154022,-0.691672,0.0511,0.0000000006553,-9.925,-9.175,-8.875,307900000,8.427,8.497,8.622
129.3549356,-0.6793922,0.0404,0.0000000003377,-10.77,-9.925,-9.575,1126000000,9.077,9.212,9.352
129.4107342,-0.6956981,0.079,0.000000000323,-9.725,-9.575,-9.475,1566000000,9.152,9.202,9.287
130.0007349,-0.6842331,0.0782,0.0000000000991,-10.52,-10.27,-10.12,2557000000,9.482,9.617,9.702
130.0371786,-0.6695398,0.0767,0.000000001006,-9.025,-8.975,-8.425,898800000,8.952,8.957,9.107
130.7013291,-0.7244157,0.0785,0.000000000571,-10.17,-9.475,-9.225,781800000,8.912,8.962,9.072
130.7916961,-0.6403282,0.109,0.000000000123,-10.47,-10.12,-9.925,2887000000,9.432,9.487,9.652
130.7896571,-0.6389663,0.1092,0.000000000273,-8.875,-8.725,-8.575,2225000000,8.822,8.877,9.002
131.5926269,-0.7162,0.0405,0.0000000003535,-9.975,-9.525,-9.425,386200000,8.582,8.637,8.722
132.7240278,-0.635765,0.015,0.0000000002547,-9.975,-9.725,-9.575,63800000,7.742,7.827,7.947
132.8819435,-0.7360586,0.0432,0.0000000001602,-9.775,-9.675,-9.425,1052000000,8.882,9.007,9.177
132.9304644,-0.7542206,0.0977,0.0000000005416,-9.325,-9.275,-9.125,1477000000,9.092,9.157,9.202
133.1154349,-0.6500344,0.0593,0.00000000004885,-10.77,-10.32,-10.12,1875000000,9.247,9.272,9.352
133.7117969,-0.657399,0.0668,0.0000000002289,-10.82,-9.825,-9.525,1951000000,9.117,9.232,9.317
134.3035556,-0.7577036,0.0392,0.0000000009404,-9.925,-9.175,-8.925,148300000,8.087,8.142,8.212
134.3761628,-0.7336378,0.1058,0.00000000001917,-11.17,-10.17,-9.225,2611000000,7.492,8.732,9.387
134.5523451,-0.6310957,0.0711,0.0000000002838,-9.625,-9.475,-9.375,1342000000,9.062,9.127,9.267
134.9864585,-0.7161041,0.1208,0.0000000004245,-9.775,-9.625,-9.525,2783000000,9.487,9.552,9.632
135.0593283,-0.7816189,0.082,0.0000000002387,-10.07,-9.775,-9.625,1839000000,9.267,9.352,9.457
135.2073101,-0.7143935,0.0406,0.0000000001887,-9.825,-9.725,-9.625,1394000000,9.062,9.097,9.187
135.3158346,-0.7345321,0.1144,0.0000000009423,-9.275,-9.175,-9.025,1796000000,9.222,9.272,9.317
135.9769244,-0.7258793,0.1028,0.0000000005125,-9.475,-9.325,-9.275,2290000000,9.357,9.437,9.542
136.0313923,-0.7583502,0.1031,0.0000000006874,-9.325,-9.175,-8.975,2089000000,9.317,9.322,9.377
136.8079237,-0.7684553,0.0584,0.0000000002095,-9.875,-9.675,-9.475,894500000,8.742,8.852,8.952
137.1475817,-0.8289446,0.0121,0.0000000007786,-9.475,-9.275,-9.125,20330000,7.297,7.362,7.467
137.1628287,-0.7227522,0.1034,0.0000000002115,-9.675,-9.525,-9.375,2554000000,9.227,9.302,9.392
137.3497789,-0.6391498,0.0393,0.0000000002616,-9.925,-9.675,-9.525,961900000,8.972,8.997,9.137
139.0597127,-0.7609734,0.0012,0.00000000001717,-11.32,-10.42,-9.925,220800,5.222,5.307,5.452
139.3064474,-0.8389544,0.0743,0.000000001142,-10.72,-9.225,-9.075,666300000,8.817,8.897,9.087
139.6295323,-0.7453155,0.056,0.0000000007171,-9.275,-9.125,-8.925,548100000,8.707,8.757,8.832
139.822035,-0.8067636,0.076,0.000000008902,-8.175,-8.075,-8.075,1371000000,9.132,9.137,9.242
