ind,ra,dec,mass_stellar_best_fit,sSFR_best_fit,z
0,129.01540219999998,-0.6916720000000001,307900000,6.553e-10,0.0511
1,132.93046439999998,-0.7542206,1477000000,5.416e-10,0.0977
10,129.87736239999998,-0.22798090000000001,2944000000,2.453e-10,0.0512
100,130.41775619999999,1.9655836,95130000,3e-10,0.0298
101,130.67714739999997,1.9518904,995000000,1.796e-11,0.0255
102,131.3607321,1.9367566,1227000000,1.196e-10,0.0721
103,131.68898299999998,1.9616664,2514000000,3.028e-11,0.0516
104,133.20894729999998,2.1692831999999997,2026000000,1.151e-09,0.1441
105,133.57975069999998,1.9931355,122700000,2.971e-10,0.018
106,133.85801279999998,2.1882118999999998,937300000,6.179e-10,0.0763
107,134.67079600999998,2.1937062899999997,16520000,4.177e-09,0.0082
108,135.23840009999998,2.1794738999999996,320300000,9.334e-10,0.0583
109,135.88809659999998,2.1866708999999998,591900000,2.064e-10,0.057
11,129.9770715,-0.2433203,620900000,1.172e-09,0.0748
110,136.9917605,2.2705433999999998,1895000000,1.478e-10,0.026
111,137.20565919999999,2.2594232,1100000000,3.366e-10,0.0576
112,138.68613199999996,2.2968267,2055000000,3.753e-10,0.0913
113,139.47597009999998,2.2432565,2194000000,3.145e-10,0.0544
114,139.4060557,2.2088307,535100000,2.731e-10,0.0506
115,140.5897692,2.3408348,2538000000,1.921e-11,0.0499
116,138.995971,2.6001252,166500000,3.456e-10,0.0278
117,139.11033600000002,2.5862271000000003,27800000,3.841e-10,0.0128
118,140.0548317,2.6121253,1853000000,5.563e-10,0.1495
119,129.7245739,0.9442479,1367000000,5.949e-10,0.0927
12,132.12237349999998,-0.3020296,617500000,1.08e-10,0.0406
120,129.93055189999998,0.9536602,230500000,3.592e-10,0.0292
121,130.16913739999998,0.9367558,220700000,2.944e-10,0.0398
122,130.3992505,0.9588192999999999,1483000000,1.734e-10,0.0851
123,130.44971809999998,1.0125306,764800000,1.237e-09,0.0765
124,130.70512209999995,0.8773711000000001,2302000000,3.429e-10,0.1162
125,130.7423049,0.8598428,2304000000,1.606e-10,0.0731
126,130.8483421,0.9500691,945000000,1.893e-10,0.0971
127,132.30742589999997,1.0785619,2270000000,3.185e-10,0.1052
128,132.57878019999998,1.0875827999999998,630100000,1.182e-09,0.0692
129,132.61317549999998,1.0440944,1447000000,8.657e-11,0.0348
13,132.1822559,-0.2463294,1392000000,3.505e-10,0.0753
130,133.2456092,1.0269262,918600000,2.448e-10,0.0506
131,134.1276816,0.9507998999999999,2246000000,2.619e-10,0.1031
132,135.14046409999997,1.1714196000000001,1657000000,3.189e-10,0.0906
133,135.4280462,1.1663476,1829000000,2.032e-10,0.0714
134,139.59489219999998,1.2479535000000002,2712000000,4.885e-11,0.0802
135,140.43811289999996,1.2411982000000001,70870000,3.634e-10,0.0166
136,129.0266283,1.3064029000000001,257300000,1.864e-10,0.0132
137,131.38643352999998,1.30219017,289100000,2.462e-09,0.0703
138,131.6606102,1.4042761,538000000,3.592e-10,0.0362
139,131.5834888,1.4283619,1746000000,3.639e-10,0.0976
14,132.31793539999998,-0.22184420000000002,1794000000,9.419e-11,0.0472
140,132.0443092,1.4577487,1471000000,2.253e-09,0.1289
141,132.0434128,1.4470367,2726000000,3.287e-10,0.129
142,132.27478969999999,1.4575709,310600000,3.591e-10,0.0344
143,132.34242899999998,1.4012745,859900000,1.474e-10,0.0344
144,133.055333,1.4995183,1080000000,4.885e-11,0.0357
145,133.22370199999997,1.4245176000000002,1763000000,4.737e-11,0.0508
146,133.53308162999997,1.4312487500000002,1631000000,2.029e-10,0.1074
147,133.98422939999998,1.5113217,1704000000,2.461e-10,0.0717
148,134.28996789999997,1.4259788,2653000000,1.598e-11,0.0704
149,134.48390659999995,1.5168104,2290000000,1.904e-10,0.0704
15,133.71844119999997,-0.2635454,409200000,9.815e-10,0.0504
150,134.7399882,1.4247357,2983000000,2.335e-10,0.0538
151,135.2828635,1.4435401,498000000,4.358e-10,0.0717
152,135.81266899999997,1.4395989,1682000000,1.397e-09,0.1298
153,139.6062437,1.6449816,1022000000,1.281e-09,0.0918
154,139.69949419999998,1.5560495,2190000000,3.956e-10,0.0783
155,129.42704713999998,1.69318254,2764000000,2.722e-10,0.0596
156,129.4002821,1.6835554,2117000000,3.835e-10,0.1049
157,129.47477859999998,1.7845792999999999,62290000,6.95e-11,0.0136
158,129.5092882,1.7556762,2179000000,1.844e-10,0.073
159,130.45279359999998,1.7222211,220100000,1.755e-09,0.045
16,134.30339759999995,-0.2866901,32350000,2.943e-10,0.0111
160,131.00485619999998,1.7536822,1101000000,3.258e-10,0.0621
161,131.4789298,1.7420925,1477000000,2.744e-11,0.0462
162,131.9852366,1.7549963,1937000000,3.93e-10,0.0665
163,132.55010865,1.76228731,2735000000,1.964e-10,0.1234
164,132.6927139,1.8245968,272500000,5.193e-10,0.0354
165,133.1577796,1.8266725,2884000000,1.375e-10,0.0728
166,136.2921874,1.9671948000000001,610100000,2.576e-10,0.0513
167,139.5913228,2.1702269,185800000,2.217e-10,0.0275
168,131.3437464,2.1901997,132800000,1.701e-10,0.0063
169,131.496522,2.1703577999999997,1385000000,1.82e-10,0.075
17,134.49866199999997,-0.4102905,45090000,3.835e-10,0.0111
170,132.12485729999997,2.1422297,514800000,1.104e-10,0.0351
171,133.43530669999998,2.2969545,2872000000,1.425e-10,0.0701
172,134.21213419999998,2.3629482,1384000000,7.294e-10,0.1038
173,136.80747011,2.441377552,829000000,6.505e-10,0.1183
174,139.32821729999998,2.4086102,345500000,1.41e-09,0.0548
175,139.81460029999997,2.5535414999999997,1348000000,2.954e-10,0.0589
176,140.22487099999998,2.5555698,501000000,2.662e-10,0.0564
177,140.3134637,2.5259253999999998,1647000000,6.658e-10,0.0883
178,130.39304499999997,2.1888783,492500000,3.865e-10,0.0287
179,132.6802271,2.4182501,1758000000,2.88e-09,0.1229
18,139.97053379999997,-0.242572,2724000000,3.831e-10,0.0563
180,133.56917829999998,2.4692977000000003,1560000000,1.757e-10,0.0878
181,134.4125737,2.3970772,2288000000,9.667e-11,0.0538
182,134.64990989999998,2.5600435999999998,489800000,2.023e-10,0.0394
183,136.3645679,2.4913836000000003,632900000,8.174e-11,0.0378
184,137.4462385,2.5918044,2155000000,8.686e-10,0.1395
185,137.71282779999996,2.7316279000000003,609400000,8.153e-10,0.0549
186,138.11870679999996,2.7796011,547700000,2.064e-09,0.0563
187,138.46568329999997,2.6867629,1466000000,8.372e-10,0.0907
188,139.28345339999998,2.7649578,2117000000,1.253e-08,0.1232
189,139.80157709999997,2.7253025,39570000,4.135e-10,0.0122
19,140.83686899999998,-0.40694630000000004,745900000,2.187e-10,0.0522
190,140.172028,2.8511661,549800000,4.009e-10,0.0565
191,140.5469178,2.8891662,2588000000,6.95e-11,0.086
192,130.02361509999997,2.4638816,611700000,2.512e-10,0.0288
193,130.5050355,2.5283815,1397000000,1.674e-10,0.0284
194,130.8514497,2.6597028,1517000000,4.725e-10,0.0983
195,131.75744919999997,2.6079889,1915000000,2.117e-10,0.0607
196,131.8290695,2.6684957,562000000,4.448e-10,0.0602
197,132.1365411,2.637574,367500000,1.259e-10,0.0287
198,132.5568584,2.7073921000000003,1893000000,1.189e-12,0.0592
199,132.68527089999998,2.6583086,1464000000,9.566e-11,0.0581
2,134.5523451,-0.6310957,1342000000,2.838e-10,0.0711
20,129.0285499,0.012736200000000001,1558000000,5.516e-10,0.0581
200,133.06174769999998,2.7983449,332300000,2.944e-10,0.0354
201,134.28374672999996,2.9318285,24850000,3.287e-11,0.0141
202,134.6875782,2.8352172,1395000000,2.749e-10,0.071
203,136.70936919999997,2.9566001,883500000,3.377e-10,0.0567
204,130.92039249999996,2.9768814,125200000,4.05e-10,0.0266
205,139.8263524,2.6844221000000004,121000000,1.067e-09,0.0366
206,130.09239689999998,2.4165163,499500000,8.921e-10,0.0597
207,130.1419776,2.3103254,258800000,4.401e-11,0.0504
208,131.4271145,2.3559908000000003,1111000000,2.28e-10,0.0325
209,131.6316643,2.3758472,2307000000,4.538e-10,0.0773
21,130.7974785,0.0973068,990300000,6.346e-10,0.0784
210,132.99807339999998,2.5434362,672600000,2.184e-10,0.0285
211,133.00741029999998,2.5490831,234700000,5.622e-10,0.0285
212,133.76904779999998,2.5445466999999997,2629000000,1.381e-10,0.0706
213,136.61866649999996,2.7478203,2896000000,8.627e-10,0.0936
214,136.8536087,2.8540898,2822000000,4.811e-10,0.0996
215,138.2962533,2.9201793,438500000,3.663e-10,0.0262
216,138.395568,2.8819335,2593000000,2.733e-10,0.0876
217,138.8094449,2.8520291,515800000,3.82e-10,0.0258
218,140.59021749999997,2.9670471000000003,2639000000,2.453e-10,0.0862
219,130.14418519999998,2.6964151000000003,1715000000,5.2e-10,0.0668
22,132.2712025,0.062278700000000006,403200000,4.071e-10,0.0427
220,131.14784439999997,2.8735695,1431000000,3.24e-10,0.0662
221,131.61969630000002,2.9560856,1016000000,3.939e-09,0.0979
222,131.62442349999998,2.9560818,1491000000,1.037e-08,0.0979
223,132.6680361,2.9851501000000003,383100000,6.27e-09,0.1076
224,132.8245323,-0.0701641,1110000000,8.126e-10,0.0702
225,134.41437669999996,-0.1402305,496100000,8.316e-11,0.0281
226,129.9757229,-0.4613528,2371000000,6.985e-10,0.0769
227,130.4188553,-0.6241391000000001,332700000,8.524e-10,0.0545
228,131.11718739999998,-0.6064691,303800000,3.753e-10,0.0299
229,134.96202839999998,-0.5967774,217500000,3.015e-10,0.03
