ind,ra,dec,mass_stellar_best_fit,sSFR_best_fit,z
0,136.03139229999996,-0.7583502,2089000000,6.874e-10,0.1031
1,136.8079237,-0.7684553000000001,894500000,2.095e-10,0.0584
10,135.6721124,-0.2182267,997200000,3.525e-10,0.06
100,131.22747679999998,2.1738711,1911000000,2.013e-11,0.0506
101,138.02465879999997,2.5354671,2423000000,3.518e-10,0.0911
102,139.8524776,2.5745905,2161000000,1.923e-10,0.0562
103,140.80570095999997,2.60130529,2065000000,1.504e-10,0.0167
104,140.0435718,2.8434999000000003,2404000000,6.447e-10,0.104
105,140.0883512,2.8193153,2259000000,1.674e-10,0.0562
106,140.39275479999998,2.7341902,1713000000,1.432e-10,0.0903
107,129.8870667,2.6448009,1352000000,2.192e-10,0.05
108,131.08457849999996,2.5420184999999997,1980000000,3.429e-10,0.0769
109,132.85924119999999,2.6817582,121400000,4.531e-10,0.0286
11,136.14016809999998,-0.3147022,532500000,3.118e-10,0.0275
110,133.27226189999996,2.7881356999999998,397300000,2.289e-10,0.0337
111,136.72131049999996,2.9301861,931000000,1.863e-10,0.0566
112,131.5254696,2.9822229,1945000000,2.683e-10,0.1455
113,130.1781763,2.258582,2520000000,7.691e-11,0.0505
114,130.50531149999995,2.3977986,261900000,2.741e-10,0.0259
115,131.61029670000002,2.4814966000000003,733200000,1.596e-09,0.078
116,131.7321842,2.4048041,1404000000,1.734e-10,0.0351
117,136.0208099,2.7951962999999997,1989000000,1.201e-09,0.0547
118,136.0203415,2.7969896999999997,2632000000,5.838e-10,0.0548
119,130.82288369999998,2.9228213,2487000000,9.282e-11,0.078
12,139.0145106,-0.2907272,2321000000,1.682e-10,0.0877
120,134.41463079999997,2.9875403,1079000000,9.788e-12,0.0124
121,132.8187264,-0.167509,374900000,3.534e-10,0.0428
122,129.16331649999998,-0.42488760000000003,313400000,5.039e-11,0.0405
123,131.7450891,-0.5442992,2384000000,1.001e-09,0.0917
124,132.3807881,-0.5103298000000001,2301000000,2.032e-10,0.077
125,133.72114599999998,-0.511781,1808000000,2.784e-10,0.073
126,133.84441269999996,-0.5490678999999999,2083000000,3.044e-10,0.1162
127,136.0196043,-0.4625058,1491000000,6.144e-10,0.0709
128,139.87543609999997,-0.4541761,565000000,4.031e-10,0.0565
129,135.62394479999998,-0.054716900000000006,2485000000,2.877e-10,0.0541
13,139.8843518,-0.4100299,1044000000,2.811e-10,0.0387
130,136.58706689999997,-0.0845913,171200000,6.414e-10,0.0399
131,129.3305227,0.39919780000000005,910500000,4.581e-10,0.0518
132,129.8197604,0.356409,2144000000,5.296e-10,0.1096
133,130.26047379999997,0.39586560000000004,737300000,3.185e-10,0.0373
134,131.62619859999998,0.2393411,2309000000,4.492e-10,0.1291
135,131.65475370000001,0.3126401,1169000000,2.683e-10,0.0978
136,132.1962534,0.36924589999999996,2070000000,4.005e-10,0.1157
137,132.7486716,0.3253821,542900000,1.833e-11,0.0406
138,132.83517899999998,0.37262389999999995,696600000,1.171e-10,0.0363
139,133.34338439999996,0.27142689999999997,1371000000,2.918e-10,0.053
14,140.749818,-0.3601896,502300000,3.185e-10,0.0546
140,134.8155051,0.39157080000000005,583600000,1.831e-10,0.0114
141,136.52271199999998,0.2133604,98710000,4.905e-10,0.0165
142,136.57923359999998,0.35423269999999996,260800000,2.353e-09,0.0588
143,137.70830669999995,0.2651447,2824000000,3.535e-10,0.1492
144,137.8156029,0.3762278,1813000000,4.918e-10,0.0694
145,129.03634479999997,0.6660418,1637000000,1.712e-13,0.0136
146,129.8547639,0.6866341,661100000,5.462e-11,0.145
147,131.86776899999998,0.6644273,1877000000,4.459e-11,0.0582
148,132.1817738,0.6526322,2816000000,3.716e-10,0.1195
149,135.27847649999998,0.716086,2016000000,4.009e-10,0.1103
15,129.64473269999996,0.0407992,2101000000,7.135e-11,0.0776
150,137.19650929999997,0.6506265,2007000000,2.584e-10,0.0538
151,137.2938584,0.8369025,95650000,2.825e-10,0.0395
152,140.172454,-1.9887860000000002,2296000000,6.63e-14,0.0649
153,140.0291099,-1.6811757999999999,2755000000,3.438e-10,0.0686
154,139.99038259999998,-1.7257108,1034000000,4.735e-10,0.0694
155,140.12358529999997,-1.8478996,1454000000,3.701e-10,0.0537
156,140.37669009999996,-1.8958420999999999,2373000000,3.856e-10,0.1034
157,140.28413749999999,-1.8639561,1546000000,3.932e-10,0.0457
