ind,ra,dec,mass_stellar_best_fit,sSFR_best_fit,z
0,129.35493559999998,-0.6793922,1126000000,3.377e-10,0.0404
1,130.00073489999997,-0.6842331,2557000000,9.91e-11,0.0782
10,139.82014929999997,-0.8077161,993700000,6.091e-10,0.0763
100,131.10097149999999,1.0695845,255600000,8.513e-10,0.0509
101,131.53841930000002,1.1588569,681000000,8.073e-10,0.0704
102,134.27190819999998,1.2602502,1450000000,5.049e-11,0.105
103,134.27084639999998,1.3334686,2918000000,1.089e-09,0.0876
104,134.44746229999998,1.2431232,2587000000,2.876e-12,0.0736
105,134.50979379999998,1.3129782,628000000,1.616e-10,0.0521
106,134.54327019999997,1.3432487,93550000,2.023e-10,0.0183
107,135.3122579,1.2619604,2763000000,8.579e-12,0.0527
108,136.05391959999997,1.3279452999999999,1816000000,1.939e-10,0.0706
109,139.2295545,1.5112014,425400000,2.217e-10,0.0538
11,140.0731693,-0.7431104,2106000000,4.399e-10,0.096
110,139.7131125,1.4682615,151500000,5.169e-10,0.0376
111,140.38028619999997,1.3872951,2443000000,4.662e-10,0.0942
112,140.91805259999995,1.4933312,1308000000,1.1e-10,0.0735
113,129.2960182,1.6118946,1724000000,6.678e-10,0.0832
114,129.57472739999997,1.4766191000000002,497400000,2.762e-10,0.0509
115,130.38542009999998,1.5391069999999998,1866000000,2.942e-10,0.0858
116,131.23506979999996,1.5838857000000002,2070000000,2.035e-10,0.0617
117,131.43780999999998,1.6127346,504200000,3.956e-10,0.0487
118,132.4679244,1.7217499,310500000,2.187e-09,0.06
119,133.0818332,1.5971376000000002,1182000000,5.453e-10,0.045
12,140.2260296,-0.6676772999999999,2733000000,1.413e-10,0.0702
120,137.11763509999997,1.879092,290000000,4.062e-10,0.0391
121,138.13416619999998,1.8734571,843300000,3.314e-11,0.0551
122,138.3191353,1.8720294,2343000000,1.942e-10,0.0552
123,140.1239217,1.8481530000000002,175400000,2.979e-10,0.0169
124,140.0648272,1.7879348999999998,52240000,5.553e-11,0.0168
125,140.154886,1.7799677,2721000000,2.023e-10,0.088
126,140.3087641,1.7831789,1003000000,1.286e-10,0.053
127,129.17846999999998,1.9738233,616900000,1.576e-09,0.1036
128,129.3482545,1.8574628000000002,946000000,4.326e-10,0.0318
129,129.55311369999998,1.8718741,2196000000,3.726e-11,0.0737
13,129.11431439999998,-0.3856446,1297000000,3.615e-10,0.052
130,129.925999,2.0385477,474100000,1.966e-09,0.0834
131,130.60632569999999,2.0408725,2119000000,5.857e-10,0.0665
132,131.30713269999998,1.9903524000000001,1849000000,5.023e-10,0.0774
133,133.3283726,2.1057299,1607000000,3.78e-10,0.0765
134,135.14766939999998,2.1158420000000002,1216000000,1.303e-10,0.0525
135,135.2742312,2.2038343,702100000,5.625e-10,0.0588
136,135.3729289,2.0939293,940800000,1.234e-09,0.0568
137,137.44609483,2.22724412,539700000,3.698e-09,0.1021
138,139.98514259999996,2.209645,2186000000,3.199e-10,0.0854
