ra,dec,z,Llim,Mstar,vstar,dist,Lx
127.0159,4.5852381,0.1142051,1.1698888677480282e+41,71566041827.37549,200.9754,2488.901090032954,1.1698888677480282e+41
127.024,4.056563,0.06213049,3.2277807130298754e+40,59670209080.176926,163.4033,2594.8376724882996,3.2277807130298754e+40
127.03063,0.57975734,0.08197437,5.774775659369056e+40,123627355249.41818,121.6129,293.755645726513,5.774775659369056e+40
127.04411,-0.11294121,0.0808825,5.613619576360594e+40,57185526105.06027,197.0603,48.9600534613053,5.613619576360594e+40
127.04746,4.4974742,0.1014916,9.086595963706852e+40,4604925927.185307,40.65586,2295.129686485198,9.086595963706852e+40
127.04845,-0.18190094,0.05601111,2.6008084929742833e+40,35932920401.92166,186.6576,66.16882792559461,2.6008084929742833e+40
127.05219,1.8601314,0.1480098,2.050995305307231e+41,130474478436.5711,204.3534,872.8557859326864,2.050995305307231e+41
127.05306,0.028538437,0.03002492,7.199255710091156e+39,19059334.689375155,30.57272,51.000270673745604,7.199255710091156e+39
127.06953,3.5332724,0.04518367,1.666606839572309e+40,17744009450.059578,69.3326,1893.960875743104,1.666606839572309e+40
127.07332,3.4953888,0.139593,1.8053433514724577e+41,109800445486.17992,141.4699,1886.2142346212895,1.8053433514724577e+41
127.07582,4.2982144,0.1171724,1.2362138392104063e+41,11857584669.096178,41.03028,2154.849517952557,1.2362138392104063e+41
127.08928,3.9706835,0.09785899,8.407206687890852e+40,45767694667.10173,124.7865,1906.2205418435033,8.407206687890852e+40
127.09829,1.9373984,0.08633202,6.442986921780114e+40,103048093969.85336,148.2794,1009.2814573681345,6.442986921780114e+40
127.0991,4.5257834,0.09420693,7.753593786606593e+40,47454298567.58313,158.8282,2139.251736913687,7.753593786606593e+40
127.11398,2.0866051,0.1454445,1.9742260524314308e+41,143826085069.3998,222.9056,752.0871762851125,1.9742260524314308e+41
127.16278,3.9933868,0.09868395,8.558922129841402e+40,18314373704.62335,6.902977,1671.6510705045612,8.558922129841402e+40
127.17784,2.0391125,0.1420696,1.875770001072032e+41,306935577780.60535,215.9013,694.8851284852649,1.875770001072032e+41
127.18364,0.41251577,0.08492532,6.222884411781084e+40,97612265993.94806,126.016,126.50675565422782,6.222884411781084e+40
127.19361,4.3461965,0.1028919,9.356349698890882e+40,114255643874.91776,79.80144,1719.031644921335,9.356349698890882e+40
127.20162,4.2749756,0.1024494,9.270631444713178e+40,49090071334.49635,133.3647,1718.9648242021779,9.270631444713178e+40
127.2055,4.3049228,0.1170639,1.2337524020465704e+41,13867820635.033484,68.62326,1688.3774943828955,1.2337524020465704e+41
127.24273,5.4486405,0.1058037,9.931401319223053e+40,119021699713.6066,176.907,2715.3328971335327,9.931401319223053e+40
127.27324,4.5009609,0.1166533,1.2244624759428012e+41,151100702637.59042,132.6653,1514.1377278672376,1.2244624759428012e+41
127.27788,4.9314329,0.1000868,8.820381703280078e+40,173160406.7983776,142.0474,2051.9065381052355,8.820381703280078e+40
127.29582,4.3215797,0.1173404,1.2400305420790036e+41,78612041947.32002,127.0535,1358.404303762544,1.2400305420790036e+41
127.32133,3.9927947,0.07514828,4.808031734637582e+40,131985178104.00082,171.5939,1138.8506794262064,4.808031734637582e+40
127.32838,1.3688854,0.095208,7.92984140229454e+40,130845964241.19743,197.2119,230.37469631116483,7.92984140229454e+40
127.33022,2.6453668,0.01390606,1.507801202873438e+39,254918551.52373913,67.69658,626.7924120606617,1.507801202873438e+39
127.33025,2.645056,0.01383001,1.4911841315115464e+39,3295723.3795945183,69.47831,625.6716775175614,1.4911841315115464e+39
127.34571,3.4970979,0.06395831,3.4292365766149094e+40,6585545623.091743,37.43979,906.3081788500793,3.4292365766149094e+40
127.35478,1.7681792,0.08564781,6.335404830439151e+40,81975901212.95491,187.3512,61.16196414360546,6.335404830439151e+40
127.39275,4.1249618,0.0489142,1.9636179053129622e+40,3944494911.3956494,61.92052,1119.3893751278677,1.9636179053129622e+40
127.408,3.9964262,0.06559086,3.6147494127185906e+40,17028449561.467802,135.248,876.4697984244233,3.6147494127185906e+40
127.41141,3.4739934,0.105796,9.92985538327274e+40,74836138239.6785,190.8458,669.8324623349223,9.92985538327274e+40
127.42164,4.0675341,0.083894,6.064184987927957e+40,34870316235.08464,63.79279,1027.0616345076846,6.064184987927957e+40
127.43561,5.9734943,0.09779494,8.395490488144436e+40,715542924.4580706,6.902977,2440.352225500924,8.395490488144436e+40
127.43794,1.1158512,0.09559997,7.999449663568522e+40,214572511584.7173,150.1548,244.5390910506022,7.999449663568522e+40
127.44147,4.2619653,0.1018487,9.154970381131678e+40,23996773761.05346,71.69424,903.1433091445089,9.154970381131678e+40
127.44395,3.6769764,0.06552771,3.607475172652456e+40,13056702827.579832,14.39339,375.73907921521857,3.607475172652456e+40
